consultas;mean mysql;desvio padrão mysql;mean postgres;desvio padrão postgres
"SELECT * FROM ""Comments"" WHERE ""Id"" = 10;";0,57568635575;0,36697118231086784;0,57568635575;0,36697118231086784
"SELECT * FROM ""Badges"" WHERE ""Id"" = 83663;";0,33467882945;0,18586650154499396;0,33467882945;0,18586650154499396
"Select * FROM ""Users"" WHERE ""Id"" = 7670379;";0,4739550474;0,26709127952009803;0,4739550474;0,26709127952009803
"Select * FROM ""Votes"" WHERE ""Id"" = 5503;";0,4126521119;0,25870437915770267;0,4126521119;0,25870437915770267
"SELECT * FROM ""Posts"" WHERE ""Id"" > 30 AND ""Id"" < 1000;";0,2924861595;0,26017810236383915;0,2924861595;0,26017810236383915
"SELECT * FROM ""Comments"" WHERE ""Id"" > 10 AND ""Id"" < 50;";0,5091677145;0,21139012446166772;0,5091677145;0,21139012446166772
"SELECT * FROM ""Badges"" WHERE ""Id"" > 83663 AND ""Id"" < 725012;";2,6146060992;0,36014609771616646;2,6146060992;0,36014609771616646
"SELECT * FROM ""Users"" WHERE ""Id"" > 4 AND ""Id"" < 7670379;";3,4262629702;0,738541383020287;3,4262629702;0,738541383020287
