consultas;mean mysql;desvio padrão mysql;mean postgres;desvio padrão postgres
"SELECT * FROM ""Comments"" WHERE ""Id"" = 10;";3,0376034342000002;3,720231023804686;3,0376034342000002;3,720231023804686
"SELECT * FROM ""Badges"" WHERE ""Id"" = 83663;";2,81875478735;3,1136474175730826;2,81875478735;3,1136474175730826
"Select * FROM ""Users"" WHERE ""Id"" = 7670379;";3,7583722127;4,3075385979780405;3,7583722127;4,3075385979780405
"Select * FROM ""Votes"" WHERE ""Id"" = 5503;";3,09443994765;3,246412572678577;3,09443994765;3,246412572678577
"SELECT * FROM ""Posts"" WHERE ""Id"" > 30 AND ""Id"" < 1000;";3,9566872544;4,09167437231163;3,9566872544;4,09167437231163
"SELECT * FROM ""Comments"" WHERE ""Id"" > 10 AND ""Id"" < 50;";2,87118821705;3,299565099825475;2,87118821705;3,299565099825475
"SELECT * FROM ""Badges"" WHERE ""Id"" > 83663 AND ""Id"" < 725012;";5,11536959005;4,114436487823268;5,11536959005;4,114436487823268
"SELECT * FROM ""Users"" WHERE ""Id"" > 4 AND ""Id"" < 7670379;";5,28711264045;3,256904791711899;5,28711264045;3,256904791711899
