consultas;mean mysql;desvio padrão mysql;mean postgres;desvio padrão postgres
"SELECT ""Comments"".""Id"", ""Views"" FROM ""Comments"" JOIN ""Users"" ON ""Comments"".""UserId"" = ""Users"".""Id"" ORDER BY ""Views"" DESC;";7,3465155046;0,36617596293320714;7,3465155046;0,36617596293320714
"SELECT ""P"".""Id"", ""V"".""VoteTypeId"" FROM ""Posts"" as ""P"" JOIN ""Votes"" as ""V"" ON ""P"".""Id"" = ""V"".""PostId"" WHERE ""V"".""VoteTypeId"" = 3;";0,5826312481;0,10323447090663058;0,5826312481;0,10323447090663058
"SELECT ""Users"".""Id"", ""Users"".""DisplayName"", ""UserBadges1"".""Name"", ""UserBadges2"".""Name"" FROM (( ""Users"" JOIN ""Badges"" AS ""UserBadges1"" ON ""Users"".""Id"" = ""UserBadges1"".""UserId"") JOIN ""Badges"" AS ""UserBadges2"" ON (""UserBadges1"".""UserId"" = ""UserBadges2"".""UserId"" AND ""UserBadges1"".""Name"" != ""UserBadges2"".""Name"")) WHERE ""UserBadges1"".""Name"" = 'Editor' AND ""UserBadges2"".""Name"" = 'Supporter';";0,42740657635;0,0697852971494891;0,42740657635;0,0697852971494891
