consultas;mean mysql;desvio padrão mysql;mean postgres;desvio padrão postgres
"SELECT * FROM ""Comments"" WHERE ""Id"" = 10;";3,0376034342000002;3,720231023804686;0,57568635575;0,36697118231086784
"SELECT * FROM ""Badges"" WHERE ""Id"" = 83663;";2,81875478735;3,1136474175730826;0,33467882945;0,18586650154499396
"Select * FROM ""Users"" WHERE ""Id"" = 7670379;";3,7583722127;4,3075385979780405;0,4739550474;0,26709127952009803
"Select * FROM ""Votes"" WHERE ""Id"" = 5503;";3,09443994765;3,246412572678577;0,4126521119;0,25870437915770267
"SELECT * FROM ""Posts"" WHERE ""Id"" > 30 AND ""Id"" < 1000;";3,9566872544;4,09167437231163;0,2924861595;0,26017810236383915
"SELECT * FROM ""Comments"" WHERE ""Id"" > 10 AND ""Id"" < 50;";2,87118821705;3,299565099825475;0,5091677145;0,21139012446166772
"SELECT * FROM ""Badges"" WHERE ""Id"" > 83663 AND ""Id"" < 725012;";5,11536959005;4,114436487823268;2,6146060992;0,36014609771616646
"SELECT * FROM ""Users"" WHERE ""Id"" > 4 AND ""Id"" < 7670379;";5,28711264045;3,256904791711899;3,4262629702;0,738541383020287
